file,name,category,price,description,width,height,kb
special-rolls/5th-avenue-signature-roll-8-pcs.jpg,5th Avenue Signature Roll (8 pcs),Special Rolls,28,"Salmon, tuna, avocado, tempura crispy onions, tobiko.",600,800,56
mains/lemon-garlic-snapper.jpg,Lemon Garlic Snapper,Mains,28,Comes with rice and mixed vegetables.,600,800,83
mains/teppanyaki-ny-steak-7-oz.jpg,Teppanyaki NY Steak (7 oz),Mains,40,Comes with rice and mixed vegetables.,600,800,108
mains/teriyaki-chicken.jpg,Teriyaki Chicken,Mains,25,Comes with rice and mixed vegetables.,600,800,92
mains/teriyaki-salmon.jpg,Teriyaki Salmon,Mains,30,Comes with rice and mixed vegetables.,600,800,113
mains/wafu-bifu-ny-steak-7-oz.jpg,Wafu Bifu NY Steak (7 oz),Mains,42,Comes with rice and mixed vegetables.,600,800,103
mains/poke-bowl.jpg,Poke Bowl,Mains,25,"Sushi rice, salmon, tuna, crab, shrimp, tobiko, mixed greens, medium poached egg.",600,800,72
mains/kakuni-braised-pork.jpg,Kakuni Braised Pork,Mains,28,Comes with rice and mixed vegetables.,600,800,102
ramen/shoyu-ramen.jpg,Shoyu Ramen,Ramen,23,Ramen noodles in an umami soy sauce broth.,600,800,85
appetizers/calamari.jpg,Calamari,Appetizers,13,Seafood appetizer featuring squid.,600,800,116
appetizers/house-salad.jpg,House Salad,Appetizers,10,Appetizer portion.,600,800,82
appetizers/shrimp-tempura-6-pcs.jpg,Shrimp Tempura (6 pcs),Appetizers,15,Shrimp coated in light tempura batter and fried until crisp.,600,800,73
appetizers/tuna-tataki.jpg,Tuna Tataki,Appetizers,18,"Lightly seared tuna, thinly sliced with a rare center.",600,800,82
appetizers/yakitori-chicken.jpg,Yakitori Chicken,Appetizers,12,Japanese-style grilled chicken skewers.,600,800,93
appetizers/yam-tempura.jpg,Yam Tempura,Appetizers,13,"Sliced yam in tempura batter, fried until crisp.",600,800,71
appetizers/gyoza-aaa-alberta-beef-5-pcs.jpg,Gyoza AAA Alberta Beef (5 pcs),Appetizers,12,,600,800,67
appetizers/edamame.jpg,Edamame,Appetizers,8,Young soybeans in the pod.,600,800,83
appetizers/chicken-karaage.jpg,Chicken Karaage,Appetizers,13,Crispy Japanese-style fried chicken bites.,600,800,99
appetizers/crispy-shrimp-5-pcs.jpg,Crispy Shrimp (5 pcs),Appetizers,15,,600,800,100
appetizers/pork-kakuni.jpg,Pork Kakuni,Appetizers,12,"Japanese-style braised pork, slow-cooked until tender.",600,800,95
appetizers/vegetable-tempura.jpg,Vegetable Tempura,Appetizers,10,"Assorted vegetables in a light, crisp tempura batter.",600,800,87
appetizers/agedashi-tofu.jpg,Agedashi Tofu,Appetizers,11,Lightly fried tofu served in a warm soy-dashi broth.,600,800,91
appetizers/pickled-cucumbers.jpg,Pickled Cucumbers,Appetizers,8,Cucumbers pickled in a tangy brine.,600,800,79
appetizers/takoyaki-5-pcs.jpg,Takoyaki (5 pcs),Appetizers,11,,600,800,85
stir-fry/beef-udon.jpg,Beef Udon,Stir-Fry,24,,600,800,93
stir-fry/shrimp-udon.jpg,Shrimp Udon,Stir-Fry,24,,600,800,97
stir-fry/vegetable-yakisoba.jpg,Vegetable Yakisoba,Stir-Fry,15,,600,800,92
stir-fry/chicken-yakisoba.jpg,Chicken Yakisoba,Stir-Fry,21,,600,800,92
rice/steamed-rice-1-cup.jpg,Steamed Rice (1 Cup),Rice,4,,600,800,78
rice/yakimeshi-rice.jpg,Yakimeshi Rice,Rice,16,"Shoyu, egg, green onion, sesame oil, corn.",600,800,53
bento-box-lunch-only/bento-plate-b.jpg,Bento Plate B,Bento Box (Lunch Only),33,"Salmon nigiri (1 pc), tuna nigiri (1 pc), California roll (4 pcs), and protein with rice & veggies stir-fry. Served with miso soup and house salad.",600,800,93
bento-box-lunch-only/bento-plate-a.jpg,Bento Plate A,Bento Box (Lunch Only),31,"Salmon nigiri (1 pc), tuna nigiri (1 pc), ebi nigiri (1 pc), salmon sashimi (1 pc), tuna sashimi (1 pc), California roll (4 pcs). Served with miso soup and house salad.",600,800,71
